sequence_idx,cluster
0,0
1,3
2,1
3,2
4,2
5,3
6,0
7,3
8,1
9,2
10,2
11,2
12,3
13,1
14,3
15,-1
16,2
17,1
18,0
19,1
20,3
21,2
22,3
23,-1
24,0
25,2
26,3
27,1
28,3
29,1
30,3
31,2
32,3
33,1
34,1
35,1
36,-1
37,3
38,0
39,3
40,3
41,1
42,-1
43,0
44,2
45,3
46,1
47,2
48,0
49,1
50,1
51,3
52,1
53,1
54,2
55,1
56,2
57,-1
58,-1
59,2
60,3
61,1
62,0
63,2
64,1
65,3
66,-1
67,1
68,3
69,0
70,1
71,1
72,1
73,1
74,0
75,2
76,2
77,-1
78,1
79,-1
80,-1
81,1
82,1
83,3
84,3
85,3
86,2
87,2
88,3
89,2
90,1
91,1
92,3
93,-1
94,2
95,-1
96,3
97,3
98,2
99,3
100,1
101,2
102,1
103,1
104,3
105,2
106,0
107,2
108,1
109,2
110,3
111,2
112,2
113,1
114,-1
115,3
116,2
117,3
118,-1
119,3
120,-1
121,1
122,3
123,2
124,-1
125,1
126,3
127,3
128,3
129,2
130,3
131,0
132,-1
133,3
134,2
135,2
136,3
137,2
138,0
139,2
140,1
141,2
142,3
143,2
144,1
145,2
146,1
147,1
148,1
149,2
150,3
151,-1
152,-1
153,3
154,3
155,2
156,0
157,2
158,2
159,3
160,3
161,2
162,2
163,0
164,3
165,3
166,1
167,3
168,2
169,1
170,2
171,3
172,3
173,3
174,1
175,2
176,-1
177,3
178,2
179,3
180,-1
181,3
182,-1
183,3
184,2
185,1
186,2
187,0
188,1
189,2
190,2
191,0
192,2
193,-1
194,3
195,1
196,0
197,3
198,-1
199,0
200,3
201,2
202,-1
203,1
204,3
205,3
206,-1
207,3
208,-1
209,2
210,3
211,2
212,-1
213,3
214,0
215,-1
216,-1
217,1
218,0
219,1
220,1
221,1
222,2
223,3
224,2
225,3
226,2
227,3
228,2
229,3
230,2
231,3
232,1
233,1
234,3
235,2
236,3
237,3
238,-1
239,0
240,2
241,1
242,3
243,-1
244,2
245,3
246,3
247,3
248,3
249,1
250,-1
251,0
252,1
253,1
254,2
255,1
256,1
257,3
258,-1
259,2
260,3
261,1
262,3
263,3
264,2
265,1
266,-1
267,3
268,0
269,2
270,2
271,2
272,3
273,2
274,3
275,1
276,3
277,-1
278,1
279,-1
280,3
281,2
282,0
283,2
284,2
285,0
286,2
287,1
288,2
289,1
290,2
291,2
292,3
293,3
294,3
295,2
296,1
297,3
298,-1
299,1
300,1
301,3
302,2
303,1
304,1
305,3
306,3
307,3
308,-1
309,3
310,2
311,3
312,3
313,1
314,1
315,1
316,3
