Accession,Phylum
GCF_041956435,Ascomycota
GCF_013390195,Ascomycota
GCF_016097325,Ascomycota
GCF_000237345,Ascomycota
GCF_003184765,Ascomycota
GCF_002847045,Ascomycota
GCF_000145635,Ascomycota
GCF_003184585,Ascomycota
GCF_028828025,Ascomycota
GCF_000026945,Ascomycota
GCF_004355905,Ascomycota
GCF_001299255,Ascomycota
GCF_028829585,Ascomycota
GCF_029203305,Ascomycota
GCF_022343315,Ascomycota
GCF_000182925,Ascomycota
GCF_035927965,Ascomycota
GCF_000836295,Ascomycota
GCF_038362585,Ascomycota
GCF_907166805,Ascomycota
GCF_000836335,Basidiomycota
GCF_028827155,Ascomycota
GCF_001661335,Ascomycota
GCF_021436955,Ascomycota
GCF_011074865,Ascomycota
GCF_001642045,Ascomycota
GCF_014898295,Ascomycota
GCF_038497685,Ascomycota
GCF_902498895,Ascomycota
GCF_000170995,Ascomycota
GCF_000264905,Basidiomycota
GCF_000236905,Ascomycota
GCF_003426965,Ascomycota
GCF_002105095,Ascomycota
GCF_000721755,Ascomycota
GCF_028829775,Ascomycota
GCF_028827405,Ascomycota
GCF_027946475,Ascomycota
GCF_000319635,Ascomycota
GCF_041260175,Basidiomycota
GCF_010094035,Ascomycota
GCF_019915245,Ascomycota
GCF_030411735,Ascomycota
GCF_900007375,Ascomycota
GCF_003184785,Ascomycota
GCF_028828655,Ascomycota
GCF_000167675,Ascomycota
GCF_014133895,Ascomycota
GCF_000149205,Ascomycota
GCF_026319165,Ascomycota
GCF_003184925,Ascomycota
GCF_028827675,Ascomycota
GCF_021365365,Ascomycota
GCF_019202705,Ascomycota
GCF_000151425,Ascomycota
GCF_021365285,Ascomycota
GCF_023758085,Ascomycota
GCF_016758755,Basidiomycota
GCF_002775015,Ascomycota
GCF_014898435,Ascomycota
GCF_034447905,Ascomycota
GCF_000002855,Ascomycota
GCF_001653235,Ascomycota
GCF_000292625,Basidiomycota
GCF_042370955,Ascomycota
GCF_000512585,Basidiomycota
GCF_003025095,Ascomycota
GCF_000150705,Ascomycota
GCF_022495145,Ascomycota
GCF_028827545,Ascomycota
GCF_023601865,Ascomycota
GCF_024521655,Ascomycota
GCF_020726555,Ascomycota
GCF_020647865,Ascomycota
GCF_028829455,Ascomycota
GCF_008694065,Ascomycota
GCF_023522795,Ascomycota
GCF_045282275,Ascomycota
GCF_000585565,Ascomycota
GCF_024610275,Ascomycota
GCF_010094085,Ascomycota
GCF_000213175,Ascomycota
GCF_000298775,Ascomycota
GCF_009176365,Ascomycota
GCF_001646965,Ascomycota
GCF_000527765,Ascomycota
GCF_020744255,Ascomycota
GCF_013461495,Ascomycota
GCF_001661265,Ascomycota
GCF_001896365,Ascomycota
GCF_016758775,Basidiomycota
GCF_000226095,Ascomycota
GCF_000747765,Basidiomycota
