accession,cluster
GCA_016628565.1,21
GCA_022578615.1,30
GCA_011801305.2,27
GCA_033819875.1,21
GCA_900002365.1,6
GCA_020500805.1,8
GCA_004679275.1,21
GCA_030061565.1,8
GCA_000977265.3,1
GCA_026024425.1,28
GCA_902827195.2,13
GCA_001654555.2,17
GCA_012656375.1,8
GCA_949121745.1,1
GCA_003850985.1,7
GCA_009193465.1,8
GCA_027603655.1,27
GCA_949124525.1,1
GCA_000524645.1,21
GCA_949124365.1,1
GCF_030869225.1,2
GCF_023757985.1,10
GCF_028826775.1,8
GCF_000026945.1,5
GCA_015501605.1,21
GCA_000616905.1,16
GCA_046127475.1,8
GCA_932563355.1,1
GCA_024704445.1,30
GCA_011763855.1,27
GCA_027924045.1,7
GCA_001660665.1,16
GCF_000709125.1,28
GCA_003046695.1,1
GCA_027575685.1,27
GCF_009193585.1,8
GCA_021442365.1,30
GCA_015501585.1,19
GCF_010015565.1,20
GCA_020502125.1,8
GCA_027578295.1,27
GCA_004917795.1,24
GCA_002307695.1,21
GCA_024613185.1,21
GCA_030553285.1,20
GCF_025201335.1,27
GCA_005059875.1,21
GCA_019677385.1,21
GCA_011951285.2,27
GCA_949126085.1,1
GCA_003070745.1,28
GCA_027577835.1,27
GCA_020744425.1,13
GCA_020579815.1,10
GCF_020536065.1,5
GCF_001890705.1,8
GCF_000171015.1,18
GCA_028827425.1,3
GCA_910592345.1,27
GCA_004307915.1,21
GCF_900007375.1,14
GCA_947370805.1,1
GCA_040438265.1,28
GCF_002846915.1,8
GCA_027577235.1,27
GCA_000750675.1,29
GCA_016758765.1,21
GCA_027596065.1,27
GCA_011763835.1,27
GCA_027604405.1,27
GCA_949124675.1,1
GCA_021527035.1,22
GCA_021436955.3,9
GCA_002222295.1,12
GCA_911175035.1,3
GCA_900074735.1,1
GCA_003426265.1,30
GCF_021365285.1,8
GCA_900074715.1,1
GCF_002079055.1,1
GCA_020499935.1,8
GCF_028828085.1,3
GCA_035931885.1,28
GCA_027945235.1,14
GCA_003339455.1,18
GCF_002865645.1,28
GCA_024244615.1,16
GCA_000325965.1,1
GCA_001700775.1,28
GCA_019924295.1,24
GCA_011066465.2,23
GCA_020617725.1,15
GCA_911175135.1,3
GCF_030347475.1,28
GCA_010015785.1,9
GCF_022478825.1,30
GCA_025331435.1,27
GCA_021066465.1,18
GCA_001466575.1,1
GCA_027577995.1,27
GCA_028974015.1,3
GCF_020647795.1,18
GCA_014904985.1,21
GCA_000599445.1,14
GCA_027604625.1,27
GCA_022813845.1,-1
GCA_036320685.1,20
GCA_011057905.1,13
GCA_020570345.1,10
GCA_023848595.1,24
GCA_020499815.1,8
GCA_006536045.1,27
GCA_027578255.1,15
GCA_010724915.1,8
GCA_024195585.1,24
GCA_035928205.1,28
GCA_024761945.1,20
GCA_019924995.1,24
GCA_027578795.1,27
GCA_000985935.1,8
GCA_030061595.1,8
GCA_038362765.1,30
GCA_030504495.1,6
GCA_026023805.1,28
GCA_027602705.1,27
GCA_004918335.1,-1
GCA_021399465.1,28
GCA_032988895.1,23
GCA_000769215.1,14
GCA_030060675.1,8
GCF_028858645.1,10
GCA_002938355.1,21
GCF_010093595.1,10
GCA_027577715.1,27
GCA_000260075.2,17
GCA_000389695.3,-1
GCA_030039255.1,12
GCA_015529505.1,26
GCA_000166155.1,16
GCA_000190255.1,1
GCF_003144205.1,6
GCA_009732865.1,28
GCA_025688805.1,8
GCA_000836335.2,12
GCA_021498335.1,28
GCA_020503015.1,8
GCA_002222465.1,12
GCA_019633555.1,21
GCA_011066575.1,0
GCA_003033665.1,14
GCA_028827235.1,3
GCA_022432365.1,30
GCA_003704585.1,20
GCA_001605315.2,21
GCA_003589665.1,8
GCA_028025565.1,28
GCA_022495175.1,13
GCA_022984935.1,30
GCA_020500605.1,8
GCA_905219655.1,21
GCA_003947045.1,18
GCA_037075405.1,8
GCF_038497785.1,4
GCA_030412055.1,20
GCA_019924355.1,24
GCA_022664585.2,30
GCF_000185945.1,12
GCF_013085055.1,17
GCA_900079185.1,27
GCA_004155035.1,30
GCA_015501065.1,21
GCA_025677815.1,27
GCA_008080495.1,13
GCA_030270365.1,9
GCA_022605405.1,21
GCA_039795395.1,13
GCA_004917495.1,24
GCF_035927965.1,20
GCA_001661315.1,5
GCA_000320605.2,21
GCF_000320565.1,20
GCA_000875795.1,12
GCA_027886465.1,19
GCA_002102555.1,27
GCA_911639145.1,3
GCA_002008015.1,5
GCF_042370625.1,25
GCA_019207595.1,5
