accession,cluster
0,1
1,2
2,1
3,1
4,1
5,2
6,1
7,2
8,0
9,1
10,2
11,2
12,2
13,0
14,1
15,2
16,1
17,0
18,1
19,0
20,2
21,2
22,1
23,0
24,1
25,2
26,2
27,0
28,2
29,1
30,2
31,2
32,2
33,0
34,1
35,0
36,2
37,2
38,1
39,2
40,2
41,1
42,2
43,1
44,1
45,2
46,1
47,1
48,1
49,1
50,0
51,2
52,0
53,1
54,2
55,0
56,2
57,0
58,2
59,2
60,2
61,1
62,1
63,2
64,0
65,2
66,2
67,1
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,2
76,1
77,2
78,0
79,2
80,2
81,0
82,0
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,0
91,0
92,2
93,1
94,2
95,1
96,2
97,2
98,2
99,2
100,1
101,2
102,0
103,1
104,2
105,2
106,1
107,2
108,1
109,2
110,2
111,2
112,2
113,0
114,2
115,2
116,1
117,2
118,1
119,2
120,2
121,0
122,2
123,2
124,2
125,1
126,2
127,2
128,2
129,1
130,2
131,1
132,1
133,2
134,2
135,2
136,2
137,1
138,1
139,2
140,1
141,2
142,2
143,1
144,1
145,2
146,0
147,0
148,0
149,1
150,2
151,2
152,1
153,2
154,2
155,1
156,1
157,2
158,2
159,2
160,2
161,2
162,2
163,1
164,2
165,2
166,0
167,2
168,2
169,0
170,2
171,2
172,2
173,2
174,0
175,2
176,2
177,0
178,2
179,2
180,2
181,1
182,1
183,2
184,2
185,1
186,2
187,1
188,1
189,2
190,2
191,1
192,2
193,2
194,2
195,0
196,1
197,2
198,1
199,1
200,2
201,1
202,2
203,0
204,2
205,2
206,0
207,2
208,2
209,2
210,2
211,2
212,2
213,1
214,1
215,2
216,2
217,0
218,1
219,1
220,1
221,1
222,1
223,2
224,2
225,2
226,1
227,2
228,2
229,2
230,1
231,2
232,1
233,1
234,2
235,1
236,2
237,2
238,2
239,1
240,2
241,1
242,2
243,0
244,1
245,2
246,2
247,2
248,2
249,0
250,2
251,1
252,1
253,1
254,2
255,0
256,0
257,2
258,2
259,2
260,2
261,0
262,2
263,2
264,1
265,1
266,0
267,2
268,1
269,2
270,2
271,2
272,2
273,2
274,2
275,1
276,2
277,2
278,1
279,2
280,2
281,1
282,1
283,2
284,2
285,1
286,1
287,0
288,1
289,0
290,2
291,1
292,2
293,2
294,0
295,2
296,0
297,1
298,1
299,0
300,0
301,2
302,2
303,0
304,1
305,2
306,0
307,2
308,2
309,2
310,1
311,0
312,2
313,1
314,1
315,1
316,2
317,2
318,2
319,2
320,2
321,0
322,2
323,2
324,1
325,0
326,0
327,1
328,1
329,2
330,2
331,2
332,2
333,2
334,2
335,0
336,0
337,2
338,0
339,2
340,2
341,2
342,1
343,1
344,2
345,2
346,2
347,2
348,1
349,0
350,2
351,2
352,2
353,2
354,1
355,1
356,1
357,1
358,2
359,0
360,2
361,2
362,0
363,1
364,0
365,1
366,1
367,2
368,0
369,1
370,2
371,1
372,1
373,2
374,0
375,0
376,2
377,2
378,1
379,1
380,2
381,2
382,2
383,2
384,2
385,2
386,0
387,0
388,2
389,1
390,2
391,2
392,2
393,2
394,2
395,1
396,1
397,1
398,2
399,2
400,0
401,1
402,1
403,2
404,2
405,2
406,0
407,0
408,2
409,1
410,2
411,0
412,2
413,0
414,1
415,1
416,2
417,2
418,1
419,1
420,2
421,0
422,0
423,1
424,0
425,2
426,2
427,2
428,0
429,2
430,1
431,2
432,1
433,2
434,0
435,2
436,2
437,1
438,2
439,1
440,0
441,2
442,2
443,1
444,0
445,2
446,2
447,2
448,2
449,1
450,2
451,1
452,2
453,2
454,2
455,0
456,1
457,0
458,0
459,1
460,2
461,1
462,2
463,2
464,2
465,1
466,2
467,2
468,0
469,0
470,2
471,0
472,0
473,2
474,1
475,2
476,2
477,2
478,1
479,2
480,2
481,1
482,1
483,0
484,2
485,1
486,2
487,0
488,2
489,2
490,0
491,1
492,1
493,2
494,2
495,1
496,2
497,2
498,2
499,1
500,2
501,2
502,1
503,2
504,2
505,0
506,2
507,1
508,2
509,2
510,2
511,1
512,0
513,1
514,1
515,2
516,1
517,0
518,2
519,2
520,2
521,2
522,0
523,2
524,1
525,0
526,1
527,0
528,2
529,1
530,2
531,2
532,0
533,1
534,1
535,2
536,1
537,0
538,2
539,1
540,2
541,2
542,1
543,2
544,2
545,1
546,2
547,1
548,1
549,2
550,1
551,1
552,1
553,2
554,2
555,2
556,2
557,0
558,0
559,1
560,2
561,0
562,0
563,2
564,0
565,0
566,2
567,2
568,2
569,2
570,2
571,0
572,0
573,1
574,2
575,0
576,2
577,0
578,1
579,1
580,2
581,2
582,1
583,2
584,1
585,1
586,0
587,2
588,1
589,0
590,1
591,1
592,1
593,0
594,2
595,2
596,1
597,2
598,1
599,1
600,2
601,1
602,2
603,0
604,0
605,1
606,2
607,2
608,2
609,2
610,1
611,2
612,2
613,2
614,1
615,2
616,2
617,2
618,2
619,0
620,1
621,2
622,2
623,1
624,1
625,2
626,2
627,2
628,1
629,2
630,1
631,1
632,2
633,2
634,2
635,1
636,1
637,0
638,2
639,2
640,2
641,2
642,1
643,2
644,2
645,1
646,2
647,0
648,2
649,2
650,1
651,2
652,1
653,2
654,0
655,2
656,1
657,2
658,1
659,2
660,1
661,2
662,1
663,2
664,1
665,2
666,2
667,0
668,2
669,0
670,2
671,1
672,0
673,2
674,2
675,2
676,2
677,1
678,2
679,1
680,2
681,2
682,2
683,1
684,0
685,1
686,2
687,0
688,2
689,2
690,0
691,2
692,1
693,2
694,2
695,2
696,0
697,2
698,1
699,0
700,2
701,1
702,2
703,1
704,2
705,1
706,2
707,2
708,2
709,2
710,0
711,0
712,2
713,2
714,1
715,0
716,2
717,1
718,2
719,1
720,2
721,2
722,2
723,2
724,2
725,2
726,2
727,2
728,0
729,2
730,2
731,1
732,2
733,0
734,2
735,1
736,1
737,1
738,2
739,1
740,2
741,1
742,2
743,2
744,1
745,2
746,1
747,2
748,0
749,2
750,1
751,2
752,2
753,2
754,1
755,0
756,2
757,2
758,2
759,2
760,2
761,2
762,2
763,2
764,1
765,2
766,1
767,0
768,0
769,0
770,2
771,0
772,2
773,2
774,1
775,0
776,2
777,0
778,0
779,0
780,1
781,1
782,1
783,1
784,2
785,2
786,2
787,1
788,2
789,1
790,2
791,1
792,2
793,0
794,1
795,2
796,2
797,2
798,1
799,1
800,2
801,2
802,2
803,1
804,2
805,0
806,2
807,2
808,1
809,2
810,2
811,0
812,1
813,2
814,0
815,2
816,2
817,2
818,1
819,0
820,2
821,2
822,1
823,2
824,0
825,1
826,2
827,1
828,2
829,2
830,1
831,2
832,2
833,1
834,1
835,2
836,2
837,0
838,2
839,0
840,1
841,2
842,2
843,2
844,2
845,2
846,0
847,0
848,1
849,2
850,2
851,1
852,2
853,1
854,0
855,0
856,1
857,2
858,0
859,2
860,2
861,2
862,2
863,0
864,2
865,1
866,2
867,0
868,1
869,2
870,2
871,1
872,2
873,1
874,0
875,1
876,0
877,2
878,2
879,1
880,1
881,0
882,2
883,2
884,2
885,1
886,0
887,2
888,2
889,2
890,2
891,2
892,2
893,1
894,0
895,0
896,1
897,2
898,2
899,1
900,1
901,2
902,2
903,2
904,2
905,0
906,2
907,2
908,2
909,0
910,0
911,0
912,1
913,1
914,2
915,2
916,2
917,2
918,2
919,2
920,0
921,2
922,1
923,1
924,2
925,0
926,2
927,2
928,2
929,1
930,2
931,2
932,2
933,2
934,2
935,1
936,0
937,0
938,2
939,1
940,0
941,2
942,2
943,2
944,2
945,2
946,1
947,1
948,2
949,1
950,1
951,2
952,2
953,2
954,1
955,0
956,1
957,2
958,1
959,0
960,2
961,1
962,2
