accession,cluster
0,0
1,6
2,4
3,4
4,0
5,-1
6,0
7,1
8,5
9,6
10,8
11,6
12,1
13,5
14,1
15,1
16,0
17,5
18,0
19,5
20,6
21,3
22,1
23,-1
24,0
25,1
26,7
27,5
28,7
29,4
30,1
31,7
32,1
33,5
34,2
35,5
36,1
37,7
38,0
39,9
40,-1
41,2
42,-1
43,0
44,0
45,9
46,4
47,0
48,0
49,4
50,5
51,0
52,5
53,2
54,7
55,5
56,3
57,-1
58,-1
59,6
60,1
61,0
62,0
63,-1
64,5
65,0
66,1
67,2
68,7
69,0
70,-1
71,4
72,6
73,5
74,0
75,3
76,0
77,1
78,-1
79,7
80,7
81,-1
82,5
83,1
84,1
85,8
86,-1
87,7
88,7
89,1
90,5
91,5
92,1
93,-1
94,-1
95,0
96,1
97,3
98,3
99,7
100,4
101,8
102,-1
103,2
104,1
105,6
106,0
107,-1
108,6
109,-1
110,9
111,8
112,3
113,5
114,-1
115,-1
116,0
117,-1
118,2
119,1
120,-1
121,5
122,8
123,-1
124,-1
125,2
126,7
127,1
128,7
129,0
130,1
131,0
132,-1
133,7
134,6
135,-1
136,1
137,3
138,0
139,7
140,2
141,6
142,-1
143,0
144,0
145,7
146,5
147,5
148,5
149,0
150,3
151,1
152,0
153,3
154,1
155,0
156,0
157,0
158,-1
159,1
160,7
161,-1
162,3
163,0
164,1
165,8
166,5
167,1
168,6
169,5
170,3
171,8
172,-1
173,0
174,5
175,8
176,1
177,0
178,3
179,9
180,-1
181,7
182,0
183,7
184,-1
185,4
186,3
187,0
188,4
189,6
190,3
191,0
192,6
193,-1
194,9
195,5
196,0
197,9
198,0
199,0
200,-1
201,2
202,1
203,-1
204,7
205,-1
206,-1
207,-1
208,7
209,8
210,-1
211,-1
212,1
213,2
214,0
215,1
216,1
217,5
218,0
219,4
220,2
221,4
222,7
223,7
224,2
225,-1
226,0
227,-1
228,6
229,1
230,0
231,1
232,2
233,5
234,-1
235,0
236,-1
237,7
238,-1
239,0
240,3
241,6
242,1
243,-1
244,8
245,-1
246,-1
247,-1
248,1
249,5
250,-1
251,0
252,3
253,2
254,7
255,-1
256,5
257,7
258,-1
259,2
260,3
261,5
262,-1
263,1
264,0
265,0
266,5
267,-1
268,0
269,3
270,-1
271,6
272,6
273,7
274,7
275,4
276,3
277,7
278,4
279,1
280,7
281,0
282,0
283,7
284,6
285,0
286,1
287,5
288,0
289,5
290,3
291,0
292,1
293,1
294,-1
295,3
296,5
297,1
298,0
299,5
300,5
301,1
302,3
303,-1
304,0
305,8
306,0
307,1
308,1
309,7
310,4
311,-1
312,1
313,0
314,4
315,4
316,7
317,9
318,3
319,7
320,6
321,-1
322,8
323,-1
324,0
325,5
326,-1
327,0
328,4
329,1
330,7
331,9
332,7
333,-1
334,3
335,5
336,5
337,3
338,-1
339,1
340,-1
341,1
342,-1
343,0
344,1
345,1
346,-1
347,1
348,1
349,-1
350,1
351,6
352,-1
353,1
354,0
355,0
356,0
357,0
358,7
359,5
360,7
361,3
362,5
363,6
364,5
365,-1
366,2
367,3
368,5
369,2
370,-1
371,4
372,0
373,7
374,-1
375,5
376,7
377,7
378,0
379,0
380,1
381,1
382,1
383,1
384,1
385,-1
386,-1
387,-1
388,6
389,2
390,8
391,1
392,6
393,7
394,7
395,0
396,4
397,0
398,7
399,6
400,-1
401,2
402,2
403,1
404,7
405,1
406,5
407,5
408,1
409,7
410,-1
411,5
412,3
413,5
414,0
415,4
416,-1
417,1
418,0
419,6
420,6
421,5
422,5
423,0
424,5
425,9
426,-1
427,1
428,5
429,6
430,2
431,7
432,1
433,1
434,-1
435,3
436,8
437,0
438,1
439,2
440,-1
441,1
442,6
443,7
444,5
445,-1
446,6
447,6
