accession,cluster
0,1
1,1
2,4
3,0
4,2
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,4
17,0
18,1
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,1
29,3
30,1
31,1
32,1
33,0
34,3
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,3
45,1
46,4
47,1
48,1
49,4
50,3
51,1
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,1
61,3
62,1
63,1
64,0
65,1
66,1
67,3
68,3
69,1
70,4
71,3
72,1
73,0
74,1
75,3
76,1
77,1
78,0
79,3
80,1
81,0
82,0
83,1
84,1
85,1
86,1
87,2
88,1
89,1
90,0
91,0
92,1
93,3
94,1
95,3
96,1
97,1
98,1
99,1
100,4
101,2
102,0
103,3
104,1
105,1
106,1
107,1
108,4
109,1
110,1
111,3
112,1
113,0
114,1
115,1
116,1
117,1
118,3
119,1
120,1
121,0
122,1
123,3
124,1
125,1
126,1
127,1
128,1
129,2
130,1
131,3
132,2
133,1
134,1
135,1
136,1
137,-1
138,1
139,1
140,1
141,1
142,1
143,1
144,4
145,1
146,3
147,0
148,0
149,2
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,3
174,0
175,1
176,1
177,1
178,1
179,3
180,3
181,1
182,1
183,1
184,1
185,4
186,1
187,1
188,4
189,1
190,1
191,1
192,1
193,2
194,1
195,0
196,1
197,1
198,1
199,1
200,1
201,3
202,1
203,0
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,3
215,1
216,1
217,0
218,1
219,4
220,3
221,4
222,2
223,1
224,1
225,1
226,2
227,1
228,1
229,1
230,1
231,1
232,3
233,3
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,0
244,1
245,1
246,1
247,1
248,1
249,0
250,3
251,1
252,0
253,3
254,1
255,0
256,0
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,2
265,3
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,2
274,1
275,4
276,1
277,1
278,4
279,1
280,1
281,1
282,1
283,3
284,1
285,1
286,3
287,0
288,1
289,0
290,-1
291,2
292,1
293,1
294,0
295,1
296,0
297,1
298,1
299,0
300,0
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,0
311,0
312,1
313,3
314,4
315,3
316,1
317,1
318,1
319,1
320,1
321,0
322,3
323,1
324,1
325,0
326,0
327,3
328,-1
329,1
330,1
331,1
332,1
333,1
334,3
335,0
336,0
337,1
338,0
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,3
362,0
363,2
364,0
365,3
366,2
367,3
368,0
369,3
370,1
371,3
372,1
373,1
374,0
375,0
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,0
388,1
389,2
390,1
391,1
392,1
393,1
394,1
395,2
396,2
397,1
398,1
399,1
400,0
401,3
402,1
403,1
404,1
405,1
406,0
407,0
408,1
409,1
410,1
411,0
412,1
413,0
414,2
415,4
416,1
417,1
418,1
419,-1
420,1
421,0
422,0
423,1
424,0
425,1
426,2
427,1
428,0
429,1
430,2
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,0
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,0
456,1
457,0
458,0
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,0
469,0
470,1
471,0
472,0
473,1
474,3
475,1
476,1
477,1
478,4
479,2
480,1
481,4
482,2
483,0
484,1
485,1
486,1
487,0
488,1
489,1
490,0
491,3
492,3
493,1
494,1
495,2
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,2
504,2
505,0
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,3
514,4
515,1
516,3
517,0
518,1
519,1
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,0
528,1
529,3
530,1
531,1
532,0
533,1
534,1
535,1
536,1
537,0
538,1
539,-1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,3
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,0
558,2
559,1
560,1
561,0
562,0
563,1
564,0
565,1
566,-1
567,1
568,3
569,-1
570,1
571,0
572,0
573,1
574,1
575,0
576,1
577,0
578,2
579,2
580,2
581,1
582,3
583,1
584,2
585,1
586,0
587,1
588,1
589,0
590,1
591,1
592,3
593,0
594,-1
595,1
596,2
597,1
598,-1
599,2
600,1
601,1
602,1
603,0
604,0
605,1
606,1
607,1
608,1
609,1
610,-1
611,1
612,1
613,1
614,3
615,1
616,1
617,1
618,1
619,0
620,3
621,1
622,1
623,1
624,0
625,1
626,1
627,1
628,1
629,3
630,1
631,3
632,1
633,1
634,1
635,1
636,4
637,0
638,2
639,1
640,1
641,1
642,1
643,1
644,1
645,4
646,1
647,0
648,1
649,1
650,0
651,1
652,4
653,1
654,0
655,2
656,2
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,3
665,1
666,1
667,0
668,1
669,0
670,1
671,1
672,0
673,1
674,1
675,1
676,1
677,3
678,1
679,2
680,1
681,1
682,1
683,4
684,0
685,1
686,1
687,0
688,1
689,1
690,0
691,1
692,4
693,-1
694,1
695,1
696,0
697,1
698,-1
699,0
700,1
701,2
702,1
703,3
704,1
705,4
706,1
707,1
708,1
709,1
710,0
711,3
712,3
713,1
714,1
715,0
716,1
717,1
718,1
719,4
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,0
729,1
730,1
731,4
732,1
733,0
734,2
735,4
736,3
737,1
738,1
739,1
740,3
741,3
742,1
743,1
744,0
745,1
746,2
747,1
748,0
749,-1
750,1
751,3
752,1
753,1
754,1
755,0
756,1
757,1
758,1
759,3
760,1
761,1
762,1
763,1
764,3
765,1
766,0
767,0
768,0
769,0
770,1
771,0
772,1
773,1
774,1
775,0
776,1
777,1
778,0
779,0
780,3
781,1
782,3
783,4
784,1
785,1
786,1
787,0
788,1
789,1
790,1
791,4
792,1
793,0
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,4
804,1
805,0
806,1
807,1
808,1
